Model,RMSE_log,MAE_log,R2
XGBoost,0.5428782771677844,0.40125526214468893,0.8751699236610184
LightGBM,0.5543210560604426,0.4044609931972456,0.8698521316261463
Random Forest,0.5662674797761247,0.41715503134648835,0.8641819313692872
Gradient Boosting,0.5735498292807643,0.42647454988386535,0.8606661563651363
LSTM,1.01928722851413,0.8343686971691965,0.5599444798905713
Ridge Regression (Baseline),1.2629082062406933,0.871754939176281,0.32444940863833027
